feature,count,mean,std,median,q1,q3,min,max
age,41188,40.0,10.4,38,32,47,17,98
duration,41188,258.3,259.2,180,103,319,0,4918
campaign,41188,2.57,2.77,2,1,3,1,56
pdays,41188,962.5,186.9,999,999,999,-1,999
previous,41188,0.58,2.30,0,0,0,0,275
emp.var.rate,41188,0.08,1.57,0.10,-1.8,1.4,-3.4,1.4
cons.price.idx,41188,93.6,0.58,93.7,93.1,93.9,92.2,94.8
cons.conf.idx,41188,-40.5,4.62,-41.8,-42.7,-36.4,-50.8,-26.9
euribor3m,41188,3.63,1.73,4.02,1.34,4.86,0.63,5.04
nr.employed,41188,5167,72,5191,5099,5228,4964,5228
